2026/06/13 01:05:58.283054 main.go:27: 🛸 无人机仿真系统启动中... mode=simulation
2026/06/13 01:05:58.353532 main.go:51: 📋 加载场景: 百万级压力测试 → 10000 架 STRESS
2026/06/13 01:05:58.967782 main.go:62: ✅ 共创建 10000 架仿真无人机
2026/06/13 01:13:48.987901 main.go:170: 📊 [状态] 总数:10000 飞行:9998 违规:753 | MQTT发送:240000 错误:0
2026/06/13 01:13:58.987227 main.go:170: 📊 [状态] 总数:10000 飞行:9998 违规:753 | MQTT发送:240000 错误:0
2026/06/13 01:14:08.987719 main.go:170: 📊 [状态] 总数:10000 飞行:9998 违规:753 | MQTT发送:240000 错误:0
2026/06/13 01:14:18.987285 main.go:170: 📊 [状态] 总数:10000 飞行:9999 违规:797 | MQTT发送:240000 错误:0
2026/06/13 01:14:28.987783 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:873 | MQTT发送:270000 错误:0
2026/06/13 01:14:38.987571 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:873 | MQTT发送:270000 错误:0
2026/06/13 01:14:48.987489 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:873 | MQTT发送:270000 错误:0
2026/06/13 01:14:58.987585 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:912 | MQTT发送:270000 错误:0
2026/06/13 01:15:08.987424 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:912 | MQTT发送:270000 错误:0
2026/06/13 01:15:18.987198 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:912 | MQTT发送:270000 错误:0
2026/06/13 01:15:28.987626 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:947 | MQTT发送:270000 错误:0
2026/06/13 01:15:38.987495 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:979 | MQTT发送:300000 错误:0
2026/06/13 01:15:48.987659 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:979 | MQTT发送:300000 错误:0
2026/06/13 01:15:58.987413 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:1025 | MQTT发送:300000 错误:0
2026/06/13 01:16:08.987194 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:1025 | MQTT发送:300000 错误:0
2026/06/13 01:16:18.987644 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:1025 | MQTT发送:300000 错误:0
2026/06/13 01:16:28.987421 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:1025 | MQTT发送:300000 错误:0
2026/06/13 01:16:38.987225 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:1025 | MQTT发送:300000 错误:0
2026/06/13 01:16:48.987598 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:1025 | MQTT发送:300000 错误:0
2026/06/13 01:16:58.987750 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:1025 | MQTT发送:300000 错误:0
2026/06/13 01:17:08.987299 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:1092 | MQTT发送:330000 错误:0
2026/06/13 01:17:18.987372 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:1092 | MQTT发送:330000 错误:0
2026/06/13 01:17:28.987332 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:1092 | MQTT发送:330000 错误:0
2026/06/13 01:17:38.987694 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:1127 | MQTT发送:330000 错误:0
2026/06/13 01:17:48.987413 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:1146 | MQTT发送:340000 错误:0
2026/06/13 01:17:58.987642 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:1146 | MQTT发送:340000 错误:0
2026/06/13 01:18:08.987891 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:1188 | MQTT发送:340000 错误:0
2026/06/13 01:18:18.987482 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:1188 | MQTT发送:340000 错误:0
2026/06/13 01:18:28.987569 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:1188 | MQTT发送:340000 错误:0
2026/06/13 01:18:38.987277 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:1188 | MQTT发送:340000 错误:0
2026/06/13 01:18:48.987687 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:1188 | MQTT发送:360000 错误:0
2026/06/13 01:18:58.987665 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:1188 | MQTT发送:360000 错误:0
2026/06/13 01:19:08.987273 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:1188 | MQTT发送:360000 错误:0
2026/06/13 01:19:18.987666 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:1225 | MQTT发送:360000 错误:0
2026/06/13 01:19:28.987678 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:1225 | MQTT发送:360000 错误:0
2026/06/13 01:19:38.987601 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:1225 | MQTT发送:360000 错误:0
2026/06/13 01:19:48.987641 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:1249 | MQTT发送:370000 错误:0
2026/06/13 01:19:58.987670 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:1286 | MQTT发送:380000 错误:0
2026/06/13 01:20:08.987990 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:1286 | MQTT发送:380000 错误:0
2026/06/13 01:20:18.987194 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:1330 | MQTT发送:400000 错误:0
2026/06/13 01:20:28.987776 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:1364 | MQTT发送:400000 错误:0
2026/06/13 01:20:38.987234 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:1364 | MQTT发送:400000 错误:0
2026/06/13 01:20:48.987261 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:1397 | MQTT发送:400000 错误:0
2026/06/13 01:20:58.987566 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:1397 | MQTT发送:420000 错误:0
2026/06/13 01:21:08.987293 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:1397 | MQTT发送:420000 错误:0
2026/06/13 01:21:18.987703 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:1397 | MQTT发送:420000 错误:0
2026/06/13 01:21:28.987689 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:1397 | MQTT发送:420000 错误:0
2026/06/13 01:21:38.987676 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:1425 | MQTT发送:430000 错误:0
2026/06/13 01:21:48.987639 main.go:170: 📊 [状态] 总数:10000 飞行:10000 违规:1425 | MQTT发送:430000 错误:0
